"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2007","Number","14"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2008","Number","13"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2009","Number","10"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2003","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2002","Number","32598"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2003","Number","39172"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2004","Number","80007"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2005","Number","1533"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2006","Number","61"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2007","Number","16"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2008","Number","14"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2009","Number","9"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2004","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2002","Number","26028"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2003","Number","27182"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2004","Number","69746"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2005","Number","106684"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2006","Number","578"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2007","Number","42"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2008","Number","26"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2009","Number","10"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2011","Number","3"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2005","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2002","Number","24293"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2003","Number","24205"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2004","Number","57566"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2005","Number","102559"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2006","Number","119177"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2007","Number","420"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2008","Number","31"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2009","Number","10"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2011","Number","3"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2017","Number",""
