"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2005","Number","862"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2006","Number","3495"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2007","Number","14815"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2008","Number","6911"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2009","Number","2574"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2010","Number","2914"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2011","Number","3704"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2012","Number","5204"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2013","Number","8130"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2014","Number","10841"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2015","Number","12456"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2016","Number","15738"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2017","Number","16343"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","All PPSN allocations to foreign nationals aged 15 years and over","2018","Number","17514"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2002","Number","1218"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2003","Number","610"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2004","Number","287"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2005","Number","252"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2006","Number","817"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2007","Number","5611"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2008","Number","3096"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2009","Number","1298"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2010","Number","1423"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2011","Number","1549"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2012","Number","1857"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2013","Number","2664"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2014","Number","2985"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2015","Number","2165"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2016","Number","3005"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2017","Number","3803"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with no employment activity to date","2018","Number","5791"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2002","Number","1585"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2003","Number","59"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2004","Number","1"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2005","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2007","Number","1"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2002","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2002","Number","1460"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2003","Number","1098"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2004","Number","44"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2005","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2007","Number","1"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2003","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2002","Number","1259"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2003","Number","1035"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2004","Number","440"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2005","Number","5"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2007","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2004","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2002","Number","1134"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2003","Number","872"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2004","Number","375"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2005","Number","279"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2006","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2007","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2005","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2002","Number","1108"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2003","Number","837"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2004","Number","355"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2005","Number","408"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2006","Number","833"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2007","Number","5"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2008","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2006","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2002","Number","1181"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2003","Number","858"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2004","Number","371"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2005","Number","420"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2006","Number","1639"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2007","Number","5265"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2008","Number","7"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2007","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2002","Number","1111"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2003","Number","777"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2004","Number","337"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2005","Number","403"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2006","Number","1721"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2007","Number","6172"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2008","Number","2278"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2009","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2008","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2002","Number","938"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2003","Number","662"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2004","Number","288"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2005","Number","320"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2006","Number","1357"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2007","Number","4453"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2008","Number","2021"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2009","Number","559"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2010","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2011","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2009","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2002","Number","838"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2003","Number","594"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2004","Number","263"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2005","Number","280"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2006","Number","1159"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2007","Number","3655"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2008","Number","1626"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2009","Number","616"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2010","Number","616"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2011","Number","4"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2010","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2002","Number","845"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2003","Number","582"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2004","Number","258"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2005","Number","273"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2006","Number","1169"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2007","Number","3592"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2008","Number","1588"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2009","Number","608"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2010","Number","838"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2011","Number","973"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2012","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2011","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2002","Number","858"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2003","Number","584"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2004","Number","258"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2005","Number","281"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2006","Number","1192"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2007","Number","3835"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2008","Number","1699"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2009","Number","659"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2010","Number","875"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2011","Number","1393"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2012","Number","1722"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2013","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2014","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2012","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2002","Number","875"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2003","Number","589"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2004","Number","265"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2005","Number","292"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2006","Number","1255"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2007","Number","4123"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2008","Number","1796"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2009","Number","707"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2010","Number","936"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2011","Number","1459"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2012","Number","2499"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2013","Number","3445"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2014","Number","8"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2015","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2013","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2002","Number","937"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2003","Number","620"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2004","Number","290"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2005","Number","305"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2006","Number","1291"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2007","Number","4265"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2008","Number","1867"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2009","Number","705"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2010","Number","925"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2011","Number","1477"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2012","Number","2302"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2013","Number","4196"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2014","Number","5454"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2015","Number","5"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2016","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2014","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2002","Number","976"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2003","Number","635"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2004","Number","287"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2005","Number","311"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2006","Number","1314"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2007","Number","4352"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2008","Number","1914"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2009","Number","763"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2010","Number","956"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2011","Number","1501"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2012","Number","2248"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2013","Number","3817"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2014","Number","6244"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2015","Number","8304"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2016","Number","32"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2017","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2015","2018","Number",""
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2002","Number","1030"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2003","Number","656"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2004","Number","305"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2005","Number","342"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2006","Number","1386"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2007","Number","4468"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2008","Number","1992"
"Employment Activity of Foreign Nationals","EU25 to EU28 states","Persons with employment activity in 2016","2009","Number","801"
